Time,PGN,SPN,Value
1385746877.439987,EEC1,61444,Engine Speed,0.000
1385746877.449999,EEC1,61444,Engine Speed,0.000
1385746877.459986,EEC1,61444,Engine Speed,0.000
1385746877.470001,EEC1,61444,Engine Speed,0.000
1385746877.480001,EEC1,61444,Engine Speed,0.000
1385746877.490000,EEC1,61444,Engine Speed,0.000
1385746877.499985,EEC1,61444,Engine Speed,0.000
1385746877.510000,EEC1,61444,Engine Speed,0.000
1385746877.519944,EEC1,61444,Engine Speed,0.000
1385746877.529996,EEC1,61444,Engine Speed,0.000
1385746877.539984,EEC1,61444,Engine Speed,0.000
1385746877.549997,EEC1,61444,Engine Speed,0.000
1385746877.559991,EEC1,61444,Engine Speed,0.000
1385746877.569995,EEC1,61444,Engine Speed,0.000
1385746877.579995,EEC1,61444,Engine Speed,0.000
1385746877.589995,EEC1,61444,Engine Speed,0.000
1385746877.599983,EEC1,61444,Engine Speed,0.000
1385746877.609998,EEC1,61444,Engine Speed,0.000
1385746877.619981,EEC1,61444,Engine Speed,0.000
1385746877.629996,EEC1,61444,Engine Speed,0.000
1385746877.639981,EEC1,61444,Engine Speed,0.000
1385746877.649996,EEC1,61444,Engine Speed,0.000
1385746877.659980,EEC1,61444,Engine Speed,0.000
1385746877.669997,EEC1,61444,Engine Speed,0.000
1385746877.679989,EEC1,61444,Engine Speed,0.000
1385746877.689992,EEC1,61444,Engine Speed,0.000
1385746877.699987,EEC1,61444,Engine Speed,0.000
1385746877.709995,EEC1,61444,Engine Speed,0.000
1385746877.720938,EEC1,61444,Engine Speed,0.000
1385746877.729994,EEC1,61444,Engine Speed,0.000
1385746877.739980,EEC1,61444,Engine Speed,0.000
1385746877.749993,EEC1,61444,Engine Speed,0.000
1385746877.759976,EEC1,61444,Engine Speed,0.000
1385746877.769993,EEC1,61444,Engine Speed,0.000
1385746877.779997,EEC1,61444,Engine Speed,0.000
1385746877.789987,EEC1,61444,Engine Speed,0.000
1385746877.799978,EEC1,61444,Engine Speed,0.000
1385746877.809988,EEC1,61444,Engine Speed,0.000
1385746877.819976,EEC1,61444,Engine Speed,0.000
1385746877.829989,EEC1,61444,Engine Speed,0.000
1385746877.839979,EEC1,61444,Engine Speed,0.000
1385746877.849987,EEC1,61444,Engine Speed,0.000
1385746877.859975,EEC1,61444,Engine Speed,0.000
1385746877.869987,EEC1,61444,Engine Speed,0.000
1385746877.879987,EEC1,61444,Engine Speed,0.000
1385746877.889989,EEC1,61444,Engine Speed,0.000
1385746877.899975,EEC1,61444,Engine Speed,0.000
1385746877.909988,EEC1,61444,Engine Speed,0.000
1385746877.919973,EEC1,61444,Engine Speed,0.000
1385746877.929988,EEC1,61444,Engine Speed,0.000
1385746877.939932,EEC1,61444,Engine Speed,0.000
1385746877.949984,EEC1,61444,Engine Speed,0.000
1385746877.959973,EEC1,61444,Engine Speed,0.000
1385746877.969988,EEC1,61444,Engine Speed,0.000
1385746877.979995,EEC1,61444,Engine Speed,0.000
1385746877.989983,EEC1,61444,Engine Speed,0.000
1385746878.000002,EEC1,61444,Engine Speed,0.000
1385746878.010336,EEC1,61444,Engine Speed,0.000
1385746878.020960,EEC1,61444,Engine Speed,0.000
1385746878.030016,EEC1,61444,Engine Speed,0.000
1385746878.039999,EEC1,61444,Engine Speed,0.000
1385746878.050011,EEC1,61444,Engine Speed,0.000
1385746878.059998,EEC1,61444,Engine Speed,0.000
1385746878.070017,EEC1,61444,Engine Speed,0.000
1385746878.081149,EEC1,61444,Engine Speed,0.000
1385746878.090010,EEC1,61444,Engine Speed,0.000
1385746878.099997,EEC1,61444,Engine Speed,0.000
1385746878.110013,EEC1,61444,Engine Speed,0.000
1385746878.120001,EEC1,61444,Engine Speed,0.000
1385746878.130011,EEC1,61444,Engine Speed,0.000
1385746878.140958,EEC1,61444,Engine Speed,0.000
1385746878.150012,EEC1,61444,Engine Speed,0.000
1385746878.159998,EEC1,61444,Engine Speed,0.000
1385746878.170010,EEC1,61444,Engine Speed,0.000
1385746878.180009,EEC1,61444,Engine Speed,0.000
1385746878.190010,EEC1,61444,Engine Speed,0.000
1385746878.200000,EEC1,61444,Engine Speed,0.000
1385746878.210008,EEC1,61444,Engine Speed,0.000
1385746878.220240,EEC1,61444,Engine Speed,0.000
1385746878.230008,EEC1,61444,Engine Speed,0.000
1385746878.239996,EEC1,61444,Engine Speed,0.000
1385746878.250009,EEC1,61444,Engine Speed,0.000
1385746878.259994,EEC1,61444,Engine Speed,0.000
1385746878.270006,EEC1,61444,Engine Speed,0.000
1385746878.280011,EEC1,61444,Engine Speed,0.000
1385746878.290007,EEC1,61444,Engine Speed,0.000
1385746878.300951,EEC1,61444,Engine Speed,0.000
1385746878.310007,EEC1,61444,Engine Speed,0.000
1385746878.319993,EEC1,61444,Engine Speed,0.000
1385746878.330005,EEC1,61444,Engine Speed,0.000
1385746878.339993,EEC1,61444,Engine Speed,0.000
1385746878.350006,EEC1,61444,Engine Speed,0.000
1385746878.359950,EEC1,61444,Engine Speed,0.000
1385746878.370004,EEC1,61444,Engine Speed,0.000
1385746878.381165,EEC1,61444,Engine Speed,0.000
1385746878.390004,EEC1,61444,Engine Speed,0.000
1385746878.400949,EEC1,61444,Engine Speed,0.000
1385746878.410005,EEC1,61444,Engine Speed,0.000
1385746878.420948,EEC1,61444,Engine Speed,0.000
1385746878.430005,EEC1,61444,Engine Speed,0.000
1385746878.439988,EEC1,61444,Engine Speed,0.000
1385746878.450003,EEC1,61444,Engine Speed,0.000
1385746878.459987,EEC1,61444,Engine Speed,0.000
1385746878.470002,EEC1,61444,Engine Speed,0.000
1385746878.480005,EEC1,61444,Engine Speed,0.000
1385746878.490001,EEC1,61444,Engine Speed,0.000
1385746878.499988,EEC1,61444,Engine Speed,0.000
1385746878.509999,EEC1,61444,Engine Speed,0.000
1385746878.520947,EEC1,61444,Engine Speed,0.000
1385746878.530000,EEC1,61444,Engine Speed,0.000
1385746878.539986,EEC1,61444,Engine Speed,0.000
1385746878.549999,EEC1,61444,Engine Speed,0.000
1385746878.559985,EEC1,61444,Engine Speed,0.000
